id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
698764666728233,192.168.100.201,216.239.36.10,1,1,86,102,1693307837.847657,1693307837.982157
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
78695964729761,10.10.39.194,224.0.0.251,6,0,1305,0,1693308165.713121,1693308166.495769
1452162081481947,fe80:0000:0000:0000:870d:aea5:94ff:4d36,ff02:0000:0000:0000:0000:0000:0000:00fb,6,0,1425,0,1693308165.713947,1693308166.496499
277071902252513,192.168.100.201,13.107.236.1,1,1,92,108,1693307983.957921,1693307983.99951
1544783029698510,192.168.100.201,204.79.197.1,1,1,87,103,1693307837.753614,1693307837.796506
1685859827625322,192.168.100.201,142.250.201.131,13,14,3180,4989,1693307946.568682,1693307947.778694
1404625381633608,192.168.100.201,216.239.32.114,6,4,443,1031,1693308138.339528,1693308138.758538
701517747128444,192.168.100.201,204.14.183.9,1,1,85,168,1693307935.657532,1693307935.695337
2109201868345603,192.168.100.201,150.171.16.36,1,1,90,106,1693307935.610563,1693307935.656577
1828182150694088,192.168.100.201,172.217.169.238,56,50,35268,14791,1693307821.607432,1693307855.819767
1546814555641524,192.168.100.201,150.171.16.34,1,1,85,168,1693307935.743092,1693307935.788687
282479272715956,10.11.7.3,10.10.39.4,8,0,599,0,1693308084.911028,1693308084.937901
563954248076768,fe80:0000:0000:0000:8da9:9355:2583:5ede,ff02:0000:0000:0000:0000:0000:0000:000c,18,0,10011,0,1693308064.740832,1693308073.298198
705194236899558,192.168.100.201,203.99.62.214,1,1,90,90,1693307900.454886,1693307900.473351
1408941813545958,192.168.100.201,13.107.246.2,1,1,90,183,1693307982.146406,1693307982.190317
1129137585784492,172.217.169.227,10.10.39.218,9,0,1463,0,1693308084.984748,1693308085.184087
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
5458167327311,192.168.100.201,150.171.10.34,1,1,85,168,1693307935.649807,1693307935.689978
427885382261537,192.168.100.201,172.217.169.238,13,13,7731,5871,1693307958.908065,1693307959.272696
1132006603919498,192.168.100.201,216.239.32.10,1,1,100,116,1693307778.757898,1693307778.899247
1272988918758418,192.168.100.201,13.107.246.2,1,1,87,103,1693307982.14645,1693307982.188335
991612730083725,10.10.39.78,10.10.39.255,3,0,276,0,1693308040.526733,1693308042.039666
991780229979272,192.168.100.201,13.107.5.2,1,1,109,139,1693307981.040072,1693307981.143686
1414714246537044,192.168.100.201,13.107.222.39,1,1,107,165,1693307935.565076,1693307935.610125
2118599258287093,192.168.100.201,216.239.34.10,1,1,86,102,1693307958.601077,1693307958.758963
1555687958091400,192.168.100.201,150.171.16.39,1,1,96,237,1693307935.890504,1693307935.934163
1556001488254694,192.168.100.201,172.217.169.238,14,13,9165,7049,1693307898.603878,1693307898.97603
993352188116769,192.168.100.201,13.107.206.39,1,1,103,154,1693307983.737057,1693307983.779379
1134991629089498,192.168.100.201,192.42.93.30,6,3,447,862,1693308127.785114,1693308128.203602
1557204081515680,192.168.100.201,13.107.222.240,1,1,94,155,1693307935.662688,1693307935.701359
1277575949078126,192.168.100.201,40.74.78.229,14,15,3857,10192,1693308062.47883,1693308123.347085
1136649481532817,10.10.39.160,10.10.39.255,3,0,276,0,1693308052.177553,1693308053.687718
1982470258424346,192.168.100.201,142.250.180.42,14,14,3021,4637,1693307783.784922,1693307803.833394
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
2124960116546038,192.168.100.201,34.94.232.12,7,8,937,5375,1693308136.629238,1693308138.955132
1562087452910547,192.168.100.201,131.253.21.1,1,1,102,132,1693307837.795603,1693307837.835219
436350764507701,192.168.100.201,150.171.21.1,1,1,92,120,1693307984.123445,1693307984.166648
1991558438173504,fe80:0000:0000:0000:66a3:14e0:3abe:3120,ff02:0000:0000:0000:0000:0000:0000:00fb,2,0,210,0,1693308225.572224,1693308226.572505
1140712524647811,157.240.227.60,10.10.39.218,2,0,203,0,1693308114.232835,1693308114.45346
2126209932447952,192.168.100.201,216.239.38.10,1,1,86,102,1693307837.708816,1693307837.847551
2127111885135293,192.168.100.201,150.171.21.3,1,1,92,108,1693307983.957885,1693307983.998698
1142022498018706,fe80:0000:0000:0000:49fe:2a51:4c78:da1f,ff02:0000:0000:0000:0000:0000:0000:00fb,4,0,480,0,1693308241.451986,1693308241.453734
1846225317572460,192.168.100.201,216.239.32.10,1,1,99,115,1693307962.044908,1693307962.184868
861191746343222,192.168.100.201,150.171.21.4,1,1,90,176,1693307935.708918,1693307935.750964
158685423621964,192.168.100.201,13.107.246.63,16,19,2105,8861,1693307982.284492,1693308084.776254
863794496536451,192.168.100.201,150.171.10.39,1,1,96,154,1693307935.524163,1693307935.566676
1146119868107730,192.168.100.201,59.103.236.10,1,1,90,90,1693307803.51093,1693307803.551991
724306854558077,10.10.39.253,10.10.39.255,3,0,276,0,1693308102.211325,1693308103.718531
1569053896340140,192.168.100.201,150.171.16.240,1,1,115,171,1693307935.78302,1693307935.832514
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
162434924543248,192.168.100.201,203.80.128.20,1,1,90,90,1693307897.458,1693307897.477972
1429523286587413,192.168.100.201,216.239.38.10,1,1,86,102,1693307825.587797,1693307825.731224
1851937577685368,192.168.100.201,142.250.181.170,35,27,29755,3045,1693307254.512376,1693308174.250885
2133386820914492,192.168.100.201,23.235.36.32,1,1,98,186,1693307809.068924,1693307809.165076
1992842605814176,192.168.100.201,59.103.236.9,1,1,90,90,1693307804.516512,1693307804.556245
1148606662795651,192.168.100.201,150.171.16.39,1,1,89,162,1693307935.483715,1693307935.525459
585901524218745,192.168.100.201,216.239.34.10,1,1,83,140,1693307961.619385,1693307961.775396
1993847657432365,10.10.39.144,10.10.39.255,1,0,92,0,1693308251.623917,1693308251.623917
728245329392008,192.168.100.201,216.239.34.10,1,1,90,140,1693307946.848264,1693307947.000674
1995565623650684,192.168.100.201,150.171.10.34,1,1,85,168,1693307935.82982,1693307935.86964
588985300766307,192.168.100.201,199.232.46.49,11,12,1179,925,1693307809.216675,1693308059.646886
1855545400252898,192.168.100.201,172.217.169.238,7,8,2142,3924,1693308018.612834,1693308018.934616
589234408850275,192.168.100.201,104.156.84.32,1,1,98,186,1693307809.066403,1693307809.162383
1856185359414973,fe80:0000:0000:0000:3d4d:9489:453d:fc59,ff02:0000:0000:0000:0000:0000:0000:00fb,2,0,210,0,1693308156.472765,1693308157.472526
1434526930672881,192.168.100.201,204.14.183.4,1,1,90,106,1693307935.695537,1693307935.737431
2138222975133298,192.168.100.201,86.109.15.15,1,0,93,0,1693308130.665202,1693308130.665202
1856992790545715,192.168.100.201,104.156.80.32,1,1,98,159,1693307809.165171,1693307809.258963
1013748977864451,192.168.100.201,142.250.201.131,9,10,2732,4616,1693307831.560899,1693307831.882174
1859513946571553,192.168.100.201,103.55.68.158,1,1,90,90,1693307965.426785,1693307965.448168
874463207548424,10.10.39.145,224.0.0.251,2,0,170,0,1693308122.124424,1693308123.133727
